     "0;iata_code;1;name_rus;2;name_eng;3;city_rus;4;city_eng;5;country_rus;6;country_eng;7;latitude;8;longitude";;;;
     "AAA;AAA;Анаа;Анаа;Anaa;Anaa;Анаа;Анаа;Anaa;Anaa;Французская Полинезия;Французская Полинезия;French Polynesia;French Polynesia;-17.355000;-17.355000;-145.508333;-145.508333";;;;
     "AAB;AAB;;;Arrabury;Arrabury;;;Arrabury;Arrabury;Австралия;Австралия;Australia;Australia;-26.690556;-26.690556;141.047500;141.047500";;;;
     "AAC;AAC;;;Al Arish International Airport;Al Arish International Airport;Аль-Ариш;Аль-Ариш;Al Arish;Al Arish;Египет;Египет;Egypt;Egypt;31.073333;31.073333;33.835833;33.835833";;;;
     "AAD;AAD;;;Ad-Dabbah;Ad-Dabbah;;;Ad-Dabbah;Ad-Dabbah;Судан;Судан;Sudan;Sudan;17.592777777778;17.592777777778;33.959166666667;33.959166666667";;;;
     "AAE;AAE;;;Les Salines;Les Salines;;;Annaba;Annaba;Алжир;Алжир;Algeria;Algeria;36.822222;36.822222;7.809444;7.809444";;;;
     "AAF;AAF;;;Municipal;Municipal;;;Apalachicola;Apalachicola;США;США;United States;United States;29.727607;29.727607;-85.027442;-85.027442";;;;
     "AAG;AAG;;;Arapoti;Arapoti;;;Arapoti;Arapoti;Бразилия;Бразилия;Brazil;Brazil;-24.103875;-24.103875;-49.789078;-49.789078";;;;
     "AAH;AAH;;;Aachen/Merzbruck;Aachen/Merzbruck;Аахен;Аахен;Aachen;Aachen;Германия;Германия;Germany;Germany;50.823056;50.823056;6.186111;6.186111";;;;
     "AAI;AAI;;;Arraias;Arraias;;;Arraias;Arraias;Бразилия;Бразилия;Brazil;Brazil;-13.025;-13.025;-46.884;-46.884";;;;
     "AAJ;AAJ;;;Cayana Airstrip;Cayana Airstrip;Аварадам;Аварадам;Awaradam;Awaradam;Суринам;Суринам;Suriname;Suriname;3.898611;3.898611;-55.577778;-55.577778";;;;
     "AAK;AAK;Аранука;Аранука;Aranuka;Aranuka;Аранука;Аранука;Aranuka;Aranuka;Кирибати;Кирибати;Kiribati;Kiribati;0.185278;0.185278;173.636667;173.636667";;;;
     "AAL;AAL;Аальборг;Аальборг;Aalborg;Aalborg;Аальбург;Аальбург;Aalborg;Aalborg;Дания;Дания;Denmark;Denmark;57.092789;57.092789;9.849164;9.849164";;;;
     "AAM;AAM;Мала-Мала;Мала-Мала;Mala Mala;Mala Mala;Мала-Мала;Мала-Мала;Mala Mala;Mala Mala;ЮАР;ЮАР;South Africa;South Africa;-24.818111;-24.818111;31.544584;31.544584";;;;
     "AAN;AAN;Эль-Аин;Эль-Аин;Al Ain;Al Ain;Аль-Айн;Аль-Айн;Al Ain;Al Ain;ОАЭ;ОАЭ;United Arab Emirates;United Arab Emirates;24.261667;24.261667;55.609167;55.609167";;;;
     "AAO;AAO;Анако;Анако;Anaco;Anaco;Анако;Анако;Anaco;Anaco;Венесуэла;Венесуэла;Venezuela;Venezuela;9.430225;9.430225;-64.470725;-64.470725";;;;
     "AAP;AAP;;;Andrau Airpark;Andrau Airpark;;;Houston, TX;Houston, TX;США;США;United States;United States;72.886944;72.886944;-55.596111;-55.596111";;;;
     "AAQ;AAQ;Витязево;Витязево;Vityazevo;Vityazevo;Анапа;Анапа;Anapa;Anapa;Россия;Россия;Russian Federation;Russian Federation;45.002097;45.002097;37.347272;37.347272";;;;
     "AAR;AAR;;;Aarhus Airport;Aarhus Airport;Аарус;Аарус;Aarhus;Aarhus;Дания;Дания;Denmark;Denmark;56.300017;56.300017;10.619008;10.619008";;;;
     "AAS;AAS;;;Apalapsili;Apalapsili;;;Apalapsili;Apalapsili;Индонезия;Индонезия;Indonesia;Indonesia;-3.883;-3.883;139.283;139.283";;;;
     "AAT;AAT;Алтай;Алтай;Altay;Altay;Алтай;Алтай;Altay;Altay;Китай;Китай;China;China;47.749;47.749;88.089;88.089";;;;
     "AAU;AAU;Асау;Асау;Asau;Asau;Асау;Асау;Asau;Asau;Самоа;Самоа;Samoa;Samoa;-13.505778;-13.505778;-172.627972;-172.627972";;;;
     "AAV;AAV;;;Allah Valley;Allah Valley;;;Surallah;Surallah;Филиппины;Филиппины;Philippines;Philippines;6.366817;6.366817;124.751294;124.751294";;;;
     "AAW;AAW;;;Abbottabad;Abbottabad;;;Abbottabad;Abbottabad;Пакистан;Пакистан;Pakistan;Pakistan;34.150;34.150;73.217;73.217";;;;
     "AAX;AAX;;;Araxa;Araxa;;;Araxa;Araxa;Бразилия;Бразилия;Brazil;Brazil;-19.563247;-19.563247;-46.960358;-46.960358";;;;
     "AAY;AAY;Аль-Гайда;Аль-Гайда;Al Ghaydah;Al Ghaydah;Аль-Гайда;Аль-Гайда;Al Ghaydah;Al Ghaydah;Йемен;Йемен;Yemen;Yemen;16.191666;16.191666;52.175000;52.175000";;;;
     "AAZ;AAZ;;;Ambriz;Ambriz;;;Ambriz;Ambriz;Ангола;Ангола;Angola;Angola;14.865550;14.865550;-91.501981;-91.501981";;;;
     "ABA;ABA;Абакан;Абакан;Abakan;Abakan;Абакан;Абакан;Abakan;Abakan;Россия;Россия;Russian Federation;Russian Federation;53.740000;53.740000;91.385000;91.385000";;;;
     "ABB;ABB;;;RAF Station;RAF Station;Абингдон;Абингдон;Abingdon;Abingdon;Великобритания;Великобритания;United Kingdom;United Kingdom;51.690556;51.690556;-1.316667;-1.316667";;;;
     "ABC;ABC;;;Los Llanos;Los Llanos;Албасет;Албасет;Albacete;Albacete;Испания;Испания;Spain;Spain;38.948528;38.948528;-1.863517;-1.863517";;;;
     "ABD;ABD;Абадан;Абадан;Abadan;Abadan;Абадан;Абадан;Abadan;Abadan;Иран;Иран;Iran;Iran;30.371111;30.371111;48.228333;48.228333";;;;
     "ABF;ABF;Абайянг;Абайянг;Abaiang;Abaiang;Абайянг;Абайянг;Abaiang;Abaiang;Кирибати;Кирибати;Kiribati;Kiribati;1.798611;1.798611;173.040556;173.040556";;;;
